topic,normalized_stem,drive_paths,local_match,reason
ai_governance,04ae953e9c294f3683945e1cd071b5c8 lesson 3 hol governance wiki worksheet,G:\Mon disque\_04ae953e9c294f3683945e1cd071b5c8_Lesson-3-HOL---Governance-Wiki-Worksheet.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,activity responsible ai design challenge insightmart analytics,G:\Mon disque\Activity  Responsible AI Design Challenge – InsightMart Analytics.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,ai ethics audit report ex libris ai,G:\Mon disque\AI Ethics Audit Report – Ex Libris AI (v1.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,ai governance case study recursivity and jin,G:\Mon disque\AI Governance Case Study  Recursivity and Jin.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,ai governance for matt simple,G:\Mon disque\AI_Governance_for_Matt_SIMPLE.pdf,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,ai governance toupload,G:\Mon disque\AI_governance_toupload.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,ai governance whos the boob whos the trap 40k target,G:\Mon disque\AI_Governance_Whos_the_Boob_Whos_the_Trap_40k_Target.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,ai governance whos the boob whos the trap 40k target 2,G:\Mon disque\AI_Governance_Whos_the_Boob_Whos_the_Trap_40k_Target (2).docx,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,ai model governance strategy 1 pager,G:\Mon disque\AI Model Governance Strategy – 1-Pager.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,align ai ethics strategy and excellence,"G:\Mon disque\Align AI  Ethics, Strategy & Excellence.gdoc",,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,authority without ethics,G:\Mon disque\Authority Without Ethics_REVISED.gdoc || G:\Mon disque\Shared with ChatGPT\Papers\Soumis\Authority Without Ethics.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,deep reflection with comprehensive insights into enhancing ai transparency and responsibility supported by examples,"G:\Mon disque\Deep reflection with comprehensive insights into enhancing AI transparency and responsibility, supported by examples.gdoc",,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,designing a governance wiki for ai risk,G:\Mon disque\Designing a Governance Wiki for AI Risk.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,diagnostic protocol,G:\Mon disque\codex-skills\brand-identity-system\references\diagnostic-protocol.md,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,ex libris ai governance and audit dossier,G:\Mon disque\Ex Libris AI – Governance & Audit Dossier.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,ex libris ai stakeholder summary,G:\Mon disque\Ex Libris AI – Stakeholder Summary.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,explainability audit report using shap and lime,G:\Mon disque\Explainability Audit Report Using SHAP and LIME.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,governance appropriate,G:\Mon disque\codex-skills\brand-identity-system\assets\font-pairing-guides\governance-appropriate.md,,Topical Drive file has no matching normalized stem in scanned local paths.
