cluster,files_in_cluster,sample_files,missing_companions,reason
pharos invention disclosure,8,PHAROS_Invention_Disclosure_v11.docx || PHAROS_Invention_Disclosure_v11.pdf || PHAROS_Invention_Disclosure_v12.pdf || PHAROS_Invention_Disclosure_v5.docx || PHAROS_Invention_Disclosure_v6.docx || PHAROS_Invention_Disclosure_v7.docx,"abstract_or_proposal, references, review_cycle, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
2344 if story white paper 0 2026 03 06t024316z,4,2344-if-story-white-paper-v1.0-2026-03-06T024316Z.md || 2344-if-story-white-paper-v1.0-2026-03-06T024316Z.md || 2344-if-story-white-paper-v1.0-2026-03-06T024316Z.md || 2344-if-story-white-paper-v1.0-2026-03-06T024316Z.md,"abstract_or_proposal, references, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
governance by denial working,4,Governance by Denial - revised working draft.docx || Governance by Denial - revised working draft.md || Governance by Denial - revised working draft.docx || Governance by Denial - revised working draft.md,"abstract_or_proposal, references, review_cycle, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
pharos invention disclosure patent counsel working,4,PHAROS_Invention_Disclosure_v6_patent_counsel_working_draft.docx || PHAROS_Invention_Disclosure_v6_patent_counsel_working_draft.pdf || PHAROS_Invention_Disclosure_v6_patent_counsel_working_draft.docx || PHAROS_Invention_Disclosure_v6_patent_counsel_working_draft.pdf,"abstract_or_proposal, references, review_cycle, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
manuscript readiness checklist,3,manuscript-readiness-checklist.md || manuscript-readiness-checklist.md || manuscript-readiness-checklist.md,"abstract_or_proposal, review_cycle, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
template,3,reviewer-response-template.md || reviewer-response-template.md || reviewer-response-template.md,"abstract_or_proposal, references, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
00 combined whitepaper,2,00_combined_whitepaper.md || 00_combined_whitepaper.md,"abstract_or_proposal, references, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
01 ai anxiety to recursive governance ai society manuscript,2,01_AI_Anxiety_to_Recursive_Governance_AI_Society_Manuscript.docx || 01_AI_Anxiety_to_Recursive_Governance_AI_Society_Manuscript.md,"abstract_or_proposal, references, review_cycle, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
01 master recursive deterministic ai governance,2,01_Master__Recursive_Deterministic_AI_Governance.docx || 01_Master__Recursive_Deterministic_AI_Governance.md,"abstract_or_proposal, references, review_cycle, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
05 pharos invention disclosure,2,05_PHAROS_Invention_Disclosure_v12.docx || 05_PHAROS_Invention_Disclosure_v12.pdf,"abstract_or_proposal, references, review_cycle, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
08 recursive continuity without memory manuscript,2,08_Recursive_Continuity_Without_Memory__journal_manuscript.docx || 08_Recursive_Continuity_Without_Memory_journal_manuscript.docx,"abstract_or_proposal, references, review_cycle, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
10 governance by denial working,2,10_Governance_by_Denial_working_draft.docx || 10_Governance_by_Denial_working_draft.md,"abstract_or_proposal, references, review_cycle, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
2266 if whitepapers bible 23 2026 03 02t120500z,2,2266-if-whitepapers-bible-v4.23-2026-03-02T120500Z.md || 2266-if-whitepapers-bible-v4.23-2026-03-02T120500Z.md,"abstract_or_proposal, references, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
ai governance whos the boob whos the trap 40k,2,AI_Governance_Whos_the_Boob_Whos_the_Trap_40k.md || AI_Governance_Whos_the_Boob_Whos_the_Trap_40k_revised.md,"abstract_or_proposal, references, review_cycle, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
anthro pharos,2,ANTHRO_PHAROS.pdf || ANTHRO_PHAROS.docx,"abstract_or_proposal, references, review_cycle, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
authority without ethics,2,Authority Without Ethics_REVISED.gdoc || Authority Without Ethics.gdoc,"abstract_or_proposal, references, review_cycle, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
buffy with,2,BUFFY_revised_with_bibliography.docx || BUFFY_revised_with_bibliography.docx,"abstract_or_proposal, review_cycle, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
buffy with selected,2,BUFFY_FINAL_with_selected_bibliography.docx || BUFFY_FINAL_with_selected_bibliography.docx,"abstract_or_proposal, review_cycle, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
buffy with selected 1,2,BUFFY_FINAL_with_selected_bibliography (1).docx || BUFFY_FINAL_with_selected_bibliography (1).docx,"abstract_or_proposal, review_cycle, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
compress without opacity draft2,2,Compress without Opacity-DRAFT2.gdoc || Compress without Opacity-DRAFT2.docx,"abstract_or_proposal, references, review_cycle, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
first method paper,2,FIRST METHOD PAPER.gdoc || FIRST METHOD PAPER.docx,"abstract_or_proposal, references, review_cycle, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
governance by denial of political power alignment note,2,Governance by Denial - Journal of Political Power submission alignment note.md || Governance by Denial - Journal of Political Power submission alignment note.md,"abstract_or_proposal, references, review_cycle, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
manuscript,2,manuscript.md || manuscript.md,"abstract_or_proposal, references, review_cycle, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
paper,2,revised_paper.md || revised_paper.md,"abstract_or_proposal, references, review_cycle, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
pharos aiandethics,2,PHAROS_AIandEthics_submission_DRAFT.md || PHAROS_AIandEthics_submission_DRAFT.md,"abstract_or_proposal, references, review_cycle, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
recursive ai governance as executable method the very long narrative,2,Recursive AI Governance as Executable Method_ The Very Long Narrative.md || ••• Recursive AI Governance as Executable Method_ The Very Long Narrative.docx,"abstract_or_proposal, references, review_cycle, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
recurso draft1,2,RECURSO-DRAFT1.docx || RECURSO-DRAFT1.gdoc,"abstract_or_proposal, references, review_cycle, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
sealed card protocol 1,2,Sealed_Card_Protocol_FINAL (1).pdf || Sealed_Card_Protocol_FINAL (1).pdf,"abstract_or_proposal, references, review_cycle, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
the sealed card protocol true 1,2,The Sealed Card Protocol - TRUE (1).docx || The Sealed Card Protocol - TRUE (1).pdf,"abstract_or_proposal, references, review_cycle, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
this is an ambitious and intellectu,2,This is an ambitious and intellectu.md || This is an ambitious and intellectu.txt,"abstract_or_proposal, references, review_cycle, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
this paper may not exist ai,2,This Paper May Not Exist-AI.gdoc || This Paper May Not Exist-AI.docx,"abstract_or_proposal, references, review_cycle, final_delivery, cover_letter",Cluster looks like an official-paper package but lacks common companion artifacts.
